name,longitude,latitude
Le Severo,2.3245488,48.8319929
Uno,2.3434997,48.8618492
Chez Jenny,2.3646613,48.8660027
Le Petit Marché,2.3660431,48.8573191
Café des Musées,2.3643313,48.8580708
L'Encrier,2.3739893,48.8483622
Rani Mahal,2.3373273,48.8687993
O'Scia,2.3475072,48.8648222
Café Moderne,2.3422059,48.8689038
Holy Ramen,2.3544327,48.8609851
La Perla,2.3561398,48.8557588
Les Pinces,2.3562566,48.8575825
Chez Marianne,2.3586116,48.8577181
Jardin des Pâtes,2.3544856,48.8437435
La Tour d'Argent,2.3549148,48.84983
Desi Road,2.3399888,48.8556694
Polidor,2.340165,48.8497831
Qasim,2.3094204,48.8710439
Diep,2.3030346,48.8695157
Hanoï Cà Phê,2.3357136,48.8714582
Bouillon Chartier,2.3430256,48.8719475
Le Café Zéphyr,2.3418493,48.8718728
Julien,2.3532213,48.8705409
Batifol,2.358758,48.8759166
Clown-Bar,2.3671745,48.8636232
Biondi,2.3670738,48.8638211
Aux Comptoirs des Indes,2.3732066,48.8680028
Cannibale Café,2.3793255,48.86841
Le Café des Anges,2.3744522,48.8554359
Justine,2.3778893,48.8656637
Le Voltaire,2.3673694,48.8651691
Sinorama,2.3603425,48.8264568
Phở Banh Cuon 14,2.3595297,48.8263649
Le Temps des Cerises,2.3505246,48.8278771
Perlamatta,2.2883022,48.8408025
Le Clos des Gourmets,2.3006336,48.8600296
Chez l'Ami Jean,2.305956,48.8604171
Yotaro sushi,2.4036853,48.8523799
Le Babylone,2.3250816,48.851795
Gildas Delamer,2.2669254,48.8395987
Suraj,2.3148434,48.8274124
Le Coude Fou,2.3559832,48.8570811
Sohna Punjab,2.4058858,48.8540343
McDonald's,2.2578195,48.8382429
McDonald's,2.3477192,48.870959
Carrefour City,2.3531191,48.8703138
Chez Louis,2.3549341,48.869405
Le Plomb du Cantal,2.3552659,48.8693462
Mama Nissa,2.3452891,48.8658103
Le Voltaire,2.3302244,48.8591165
Kokohana,2.3105917,48.8697776
Léon de Bruxelles,2.3656961,48.8667808
Teppanyaki,2.3662969,48.8666678
Saveur République,2.3852954,48.8630511
McDonald's,2.3705591,48.8822632
Chez Gladines,2.3506397,48.8288139
Resto des Dames,2.3243334,48.8844355
Giulia,2.3212456,48.8881228
Matsuyama,2.2990451,48.841429
McDonald's,2.2850171,48.8469061
Ikra,2.3288228,48.8455384
Le Comptoir du Relais,2.3388319,48.8519626
Relais Odéon,2.339084,48.8526502
Le Buci,2.338474,48.8538386
Les Sourires de Dante,2.331099,48.8300397
McDonald's,2.3515044,48.8579325
McDonald's,2.3566617,48.8307271
KFC,2.3567939,48.8307708
Van An,2.355449,48.833417
Café Panis,2.3483892,48.8522066
Au Chien qui Fume,2.3192202,48.8457103
Caféothèque de Paris,2.3557731,48.8544496
Le Jardin d'Or,2.4056302,48.8537402
Krishna Bhavan,2.3596543,48.8828817
Quick,2.3218163,48.8409061
Panda Fast Food,2.3630134,48.8795777
Pause Café,2.3767225,48.8534134
Little Temple Bar,2.3344508,48.8522494
La Criée,2.3785003,48.8882137
Kouto,2.3492571,48.872313
Le Théâtre,2.2872491,48.8491586
L'Usine de Charonne,2.3986829,48.8514886
Gourmet d'Alésia,2.3227327,48.8295085
Café Charlot,2.3625592,48.8630061
Le Boucl'Art,2.4062488,48.8528282
Les Pipos,2.348343,48.8474511
Hanawa,2.3079158,48.8672258
Brasserie Wepler,2.3277184,48.8838613
Café des Deux Moulins,2.3336632,48.8848981
Le Basilic,2.3341007,48.8861622
Au Bœuf Couronné - Hôtel & Restaurant,2.3910565,48.8880361
Le Bistrot des Oies,2.3674589,48.8718909
Pizza Pino,2.3652804,48.8664224
Buffalo Grill,2.3626414,48.8674473
Hippopotamus,2.3625257,48.8675361
McDonald's,2.3624023,48.867604
KFC,2.3622367,48.8677049
Burger King,2.3621002,48.8677911
Fast Food Caribéen,2.3686418,48.8662319
Arlecchino,2.3734483,48.8653046
McDonald's,2.3747464,48.8654797
Les Anémones,2.3748561,48.8653692
KFC,2.3836251,48.8670454
McDonald's,2.3824226,48.8670436
Kouchi Yaki,2.3797926,48.8661416
Le Fujiwara,2.3770745,48.8657923
Kiobashi,2.3766863,48.8662313
Anika,2.3764374,48.866856
Les Pieds sous la Table,2.3753921,48.8680409
McDonald's,2.3247331,48.8445017
Flam's,2.3476273,48.8598744
The Moose,2.3377078,48.8518241
McDonald's,2.3570144,48.8259948
